mpu6050 calibrated
DMP enabled
x axis pointing backward

20:32:38.481 0.0 -0.1 0.4
20:32:38.841 0.0 -0.1 0.4
20:32:39.207 0.0 -0.1 0.2
20:32:39.562 0.0 -0.1 0.1
20:32:39.924 0.0 -0.1 0.0
20:32:40.283 0.0 -0.1 -0.1
20:32:40.644 0.0 -0.2 -0.2
20:32:41.009 0.1 -0.2 -0.4
20:32:41.364 0.1 -0.2 -0.4
20:32:41.725 0.1 -0.2 -0.3
20:32:42.085 0.1 -0.2 -0.4
20:32:42.446 0.1 -0.2 -0.4
20:32:42.810 0.1 -0.2 -0.8
20:32:43.166 0.6 -0.5 -4.5
20:32:43.527 1.6 -1.4 -19.2
20:32:43.892 2.2 -1.6 -31.9
20:32:44.249 2.4 -1.6 -39.4
20:32:44.613 2.3 -1.7 -41.3
20:32:44.969 2.3 -1.7 -42.2
20:32:45.333 2.2 -1.8 -40.6
20:32:45.695 1.8 -1.7 -30.5
20:32:46.055 0.7 -0.9 -12.9
20:32:46.414 -0.3 0.1 3.1
20:32:46.776 -1.0 0.4 8.2
20:32:47.135 -1.7 0.8 12.9
20:32:47.491 -2.5 1.2 17.9
20:32:47.856 -3.7 2.2 26.5
20:32:48.218 -4.2 2.9 30.4
20:32:48.577 -4.1 3.1 30.7
20:32:48.937 -3.8 2.9 30.4
20:32:49.298 -3.7 2.8 29.6
20:32:49.658 -3.5 2.9 29.6
20:32:50.019 -2.7 2.0 22.7
20:32:50.380 -1.6 1.2 13.3
20:32:50.740 -0.5 0.8 5.7
20:32:51.100 0.2 0.6 3.2
20:32:51.461 0.6 0.1 2.0
20:32:51.821 0.1 -1.6 2.1
20:32:52.181 -1.2 -5.3 -3.3
20:32:52.542 -3.9 -6.7 -4.3
20:32:52.902 -6.5 -4.0 -2.8
20:32:53.262 -9.1 -4.3 -1.9
20:32:53.623 -11.2 -4.3 -3.1
20:32:53.983 -10.5 -5.9 -4.0
20:32:54.344 0.8 -3.5 -0.9
20:32:54.704 6.4 -4.3 3.0
20:32:55.065 2.2 -4.2 1.0
20:32:55.425 0.2 -5.4 1.1
20:32:55.785 -0.7 -3.7 2.2
20:32:56.146 -3.4 -5.5 -5.5
20:32:56.506 0.3 -6.5 -5.6
20:32:56.871 8.3 -4.5 1.3
20:32:57.227 8.7 -3.5 1.5
20:32:57.588 5.1 -2.6 3.2
20:32:57.952 3.2 -4.6 1.8
20:32:58.309 1.0 -4.2 -1.8
20:32:58.673 -0.0 -3.9 -1.9
20:32:59.029 0.4 -1.9 -1.2
20:32:59.394 -0.3 -1.0 1.0
20:32:59.754 -3.4 -0.6 -0.6
20:33:00.115 -8.3 -1.7 -12.8
20:33:00.475 4.5 -1.5 -20.6
20:33:00.837 23.0 -3.3 -17.4
20:33:01.197 42.1 -4.2 -12.6
20:33:01.556 65.5 -7.8 6.8
20:33:01.917 56.2 -2.4 24.8
20:33:02.277 36.4 3.0 23.1
20:33:02.639 17.7 3.7 18.5
20:33:02.999 -4.8 0.2 13.7
20:33:03.360 -26.5 -5.4 9.6
20:33:03.720 -48.1 -9.3 10.3
20:33:04.080 -73.8 -10.4 9.8
20:33:04.441 -97.9 -19.4 9.0
20:33:04.800 -116.4 -16.7 9.2
20:33:05.162 -136.7 -18.5 8.3
20:33:05.521 -151.5 -15.4 4.8
20:33:05.882 -165.4 -14.7 8.0
20:33:06.242 179.5 -14.2 1.2
20:33:06.602 177.9 -11.7 -10.8
20:33:06.963 -176.0 -11.5 -4.2
20:33:07.323 -177.0 -11.1 -6.2
20:33:07.685 -175.2 -9.2 -2.5
20:33:08.045 -175.3 -7.5 -3.9
20:33:08.404 -172.8 -6.7 -3.8
20:33:08.766 -170.7 -5.7 0.3
20:33:09.125 -171.3 -5.5 -0.4
20:33:09.487 -172.6 -6.7 -0.3
20:33:09.846 -171.3 -4.7 -4.8
20:33:10.207 -166.8 -1.2 -0.2
20:33:10.571 -171.8 -1.3 -0.8
20:33:10.927 -172.0 -1.1 -4.2
20:33:11.288 -169.0 0.1 -3.0
20:33:11.653 -169.1 1.5 -1.9
