No.,Time,Source,Target,Length,Info,Payload
1161,73.671903,Android,Sensor,16,"Sent Read By Type Request, Server Supported Features, Handles: 0x0001..0xffff",0200020b0007000400080100ffff3a2b
1167,73.768948,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Unknown)",020022090005000400010801000a
1168,73.769861,Android,Sensor,16,"Sent Read By Group Type Request, Primary Service, Handles: 0x0001..0xffff",0200020b0007000400100100ffff0028
1170,73.860578,Sensor,Android,29,"Rcvd Read By Group Type Response, Attribute List Length: 3, GAP, GATT, Device Information",020022180014000400110601000700001808000b0001180c000e000a18
1171,73.861323,Android,Sensor,16,"Sent Read By Group Type Request, Primary Service, Handles: 0x000f..0xffff",0200020b0007000400100f00ffff0028
1173,73.957601,Sensor,Android,31,"Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown",0200221a001600040011140f00120010bc0d0c0b0a09080706050403020100
1174,73.958093,Android,Sensor,16,"Sent Read By Group Type Request, Primary Service, Handles: 0x0013..0xffff",0200020b0007000400101300ffff0028
1176,74.055301,Sensor,Android,17,"Rcvd Read By Group Type Response, Attribute List Length: 1, Battery",0200220c00080004001106130016000f18
1177,74.055947,Android,Sensor,16,"Sent Read By Group Type Request, Primary Service, Handles: 0x0017..0xffff",0200020b0007000400101700ffff0028
1180,74.118522,Sensor,Android,31,"Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown",0200221a0016000400111417001b0012190d0c0b0a09080706050403020100
1181,74.119256,Android,Sensor,16,"Sent Read By Group Type Request, Primary Service, Handles: 0x001c..0xffff",0200020b0007000400101c00ffff0028
1183,74.133442,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x001c (Unknown: Unknown)",02002209000500040001101c000a
1184,74.134221,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x0001..0x0007",0200020b000700040008010007000228
1186,74.148494,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (GAP)",020022090005000400010801000a
1187,74.149202,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0001..0x0007",0200020b000700040008010007000328
1189,74.163605,Sensor,Android,32,"Rcvd Read By Type Response, Attribute List Length: 3, Device Name, Appearance, Peripheral Preferred Connection Parameters",0200221b001700040009070200120300002a0400020500012a0600020700042a
1190,74.164010,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0007..0x0007",0200020b000700040008070007000328
1192,74.178552,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0007 (GAP: Peripheral Preferred Connection Parameters)",020022090005000400010807000a
1193,74.179093,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x0008..0x000b",0200020b00070004000808000b000228
1195,74.193486,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0008 (GATT)",020022090005000400010808000a
1196,74.194035,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0008..0x000b",0200020b00070004000808000b000328
1198,74.208484,Sensor,Android,18,"Rcvd Read By Type Response, Attribute List Length: 1, Service Changed",0200220d000900040009070900200a00052a
1199,74.209151,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x000a..0x000b",0200020b0007000400080a000b000328
1201,74.223465,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x000a (GATT: Service Changed)",02002209000500040001080a000a
1202,74.224023,Android,Sensor,14,"Sent Find Information Request, Handles: 0x000b..0x000b",020002090005000400040b000b00
1204,74.238497,Sensor,Android,15,"Rcvd Find Information Response, Handle: 0x000b (GATT: Service Changed: Client Characteristic Configuration)",0200220a000600040005010b000229
1205,74.239335,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x000c..0x000e",0200020b0007000400080c000e000228
1207,74.253322,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x000c (Device Information)",02002209000500040001080c000a
1208,74.253933,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x000c..0x000e",0200020b0007000400080c000e000328
1210,74.268372,Sensor,Android,18,"Rcvd Read By Type Response, Attribute List Length: 1, PnP ID",0200220d000900040009070d00020e00502a
1211,74.268799,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x000e..0x000e",0200020b0007000400080e000e000328
1213,74.283300,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x000e (Device Information: PnP ID)",02002209000500040001080e000a
1214,74.284096,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x000f..0x0012",0200020b0007000400080f0012000228
1216,74.298320,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x000f (Unknown)",02002209000500040001080f000a
1217,74.298947,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x000f..0x0012",0200020b0007000400080f0012000328
1219,74.313684,Sensor,Android,32,"Rcvd Read By Type Response, Attribute List Length: 1, Unknown",0200221b001700040009151000161100122c0d0c0b0a09080706050403020100
1220,74.314782,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0011..0x0012",0200020b000700040008110012000328
1222,74.328296,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0011 (Unknown: Unknown)",020022090005000400010811000a
1223,74.328980,Android,Sensor,14,"Sent Find Information Request, Handles: 0x0012..0x0012",0200020900050004000412001200
1225,74.343362,Sensor,Android,15,"Rcvd Find Information Response, Handle: 0x0012 (Unknown: Unknown: Client Characteristic Configuration)",0200220a0006000400050112000229
1226,74.344134,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x0013..0x0016",0200020b000700040008130016000228
1228,74.358337,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0013 (Battery)",020022090005000400010813000a
1229,74.359100,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0013..0x0016",0200020b000700040008130016000328
1231,74.373318,Sensor,Android,18,"Rcvd Read By Type Response, Attribute List Length: 1, Battery Level",0200220d000900040009071400121500192a
1232,74.373968,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0015..0x0016",0200020b000700040008150016000328
1234,74.388312,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0015 (Battery: Battery Level)",020022090005000400010815000a
1235,74.389129,Android,Sensor,14,"Sent Find Information Request, Handles: 0x0016..0x0016",0200020900050004000416001600
1237,74.403417,Sensor,Android,15,"Rcvd Find Information Response, Handle: 0x0016 (Battery: Battery Level: Client Characteristic Configuration)",0200220a0006000400050116000229
1238,74.404423,Android,Sensor,16,"Sent Read By Type Request, Include, Handles: 0x0017..0x001b",0200020b00070004000817001b000228
1240,74.418336,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0017 (Unknown)",020022090005000400010817000a
1241,74.419138,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0017..0x001b",0200020b00070004000817001b000328
1243,74.433486,Sensor,Android,32,"Rcvd Read By Type Response, Attribute List Length: 1, Unknown",0200221b001700040009151800161900122b0d0c0b0a09080706050403020100
1244,74.434095,Android,Sensor,16,"Sent Read By Type Request, Characteristic, Handles: 0x0019..0x001b",0200020b00070004000819001b000328
1246,74.448332,Sensor,Android,14,"Rcvd Error Response - Attribute Not Found, Handle: 0x0019 (Unknown: Unknown)",020022090005000400010819000a
1247,74.449071,Android,Sensor,14,"Sent Find Information Request, Handles: 0x001a..0x001b",020002090005000400041a001b00
1249,74.463280,Sensor,Android,19,"Rcvd Find Information Response, Handle: 0x001a (Unknown: Unknown: Client Characteristic Configuration), Handle: 0x001b (Unknown: Unknown: Characteristic User Description)",0200220e000a00040005011a0002291b000129
1250,74.463867,Sensor,Android,21,Rcvd Connection Parameter Update Request,02002210000c000500120108000800080063009001
1252,74.464380,Android,Sensor,15,Sent Connection Parameter Update Response (Accepted),0200020a0006000500130102000000
1262,74.717580,Android,Sensor,14,"Sent Write Request, Handle: 0x0012 (Unknown: Unknown: Client Characteristic Configuration)",0200020900050004001212000100
1264,74.775054,Sensor,Android,10,"Rcvd Write Response, Handle: 0x0012 (Unknown: Unknown: Client Characteristic Configuration)",02002205000100040013
1265,74.872721,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1267,75.705151,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1268,76.605572,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1269,77.506314,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1270,78.405845,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1271,79.305590,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1272,80.205603,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1273,81.105967,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1322,82.005643,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1323,82.905879,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1324,83.805882,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1375,84.705921,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1378,85.605589,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1379,86.506042,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1382,87.406238,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1383,88.306847,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
